DeviceOn, Algorithm, Transpose, PBRange, Volume, Panorama, Pan<Key, Pan<Rnd, Tone, Spread, GlideOn, GlideTime, Osc-AOn, ACoarse, AFine, AFreq<Vel, AQuantize, AFixOn, AFixFreq, AFixFreqMul, Osc-ALevel, Osc-ARetrig, Osc-APhase, Osc-ALev<Vel, Osc-ALev<Key, Osc-AWave, Osc-AFeedb, Osc-A<Pe, Osc-A<LFO, AeAttack, AeInit, AeDecay, AePeak, AeSustain, AeRelease, AeMode, AeLoop, AeRetrig, AeR<Vel, Osc-BOn, BCoarse, BFine, BFreq<Vel, BQuantize, BFixOn, BFixFreq, BFixFreqMul, Osc-BLevel, Osc-BRetrig, Osc-BPhase, Osc-BLev<Vel, Osc-BLev<Key, Osc-BWave, Osc-BFeedb, Osc-B<Pe, Osc-B<LFO, BeAttack, BeInit, BeDecay, BePeak, BeSustain, BeRelease, BeMode, BeLoop, BeRetrig, BeR<Vel, Osc-COn, CCoarse, CFine, CFreq<Vel, CQuantize, CFixOn, CFixFreq, CFixFreqMul, Osc-CLevel, Osc-CRetrig, Osc-CPhase, Osc-CLev<Vel, Osc-CLev<Key, Osc-CWave, Osc-CFeedb, Osc-C<Pe, Osc-C<LFO, CeAttack, CeInit, CeDecay, CePeak, CeSustain, CeRelease, CeMode, CeLoop, CeRetrig, CeR<Vel, Osc-DOn, DCoarse, DFine, DFreq<Vel, DQuantize, DFixOn, DFixFreq, DFixFreqMul, Osc-DLevel, Osc-DRetrig, Osc-DPhase, Osc-DLev<Vel, Osc-DLev<Key, Osc-DWave, Osc-DFeedb, Osc-D<Pe, Osc-D<LFO, DeAttack, DeInit, DeDecay, DePeak, DeSustain, DeRelease, DeMode, DeLoop, DeRetrig, DeR<Vel, Time, Time<Key, PeOn, PeAttack, PeInit, PeASlope, PeDecay, PePeak, PeDSlope, PeSustain, PeRelease, PeEnd, PeRSlope, PeMode, PeLoop, PeRetrig, PeR<Vel, PeAmount, PeAmtA, PeDstB, PeAmtB, LFOOn, LFOType, LFORange, LFORate, LFOSync, LFOR<K, LFORetrigger, LFOAmt, LFOAmtA, LFODstB, LFOAmtB, LFO<Vel, LFO<Pe, LeAttack, LeInit, LeDecay, LePeak, LeSustain, LeRelease, LeEnd, LeMode, LeLoop, LeRetrig, LeR<Vel, FilterOn, FilterType, FilterCircuit-LP/HP, FilterCircuit-BP/NO/Morph, FilterSlope, FilterFreq, FilterRes, FilterMorph, FilterDrive, Filt<Vel, Filt<Key, FeAmount, Filt<LFO, FeAttack, FeInit, FeASlope, FeDecay, FePeak, FeDSlope, FeSustain, FeRelease, FeEnd, FeRSlope, FeMode, FeLoop, FeRetrig, FeR<Vel, ShaperType, ShaperMix, ShaperDrive,
1.0000, 7.0000, -12.0000, 2.0000, 0.4249, 0.0000, 0.0000, 0.0000, 0.2302, 1.0000, 0.0000, 0.5398, 1.0000, 3.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.8095, 1.0000, 0.0000, 80.0000, 0.0000, 22.0000, 0.0000, 1.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.9375, 1.0000, 0.0938, 0.5938, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 18.0000, 248.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.0952, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.3556, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 2.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.7698, 1.0000, 0.0000, 0.0000, 0.0000, 22.0000, 0.0000, 1.0000, 1.0000, 0.4297, 1.0294698427060212e-07, 0.9091, 1.0000, 0.3281, 0.7273, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 2.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.2540, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.2969, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.3556, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 12.0000, 0.0000, 0.5814, 12.0000, 1.0000, 0.0000, 0.3556, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000, 100.0000, 1.0000, 0.0000, 0.0000, 34.2698, 3.0000, 0.0000, 1.0000, 0.0476, 100.0000, 0.0000, 100.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.3556, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 0.0000, 0.7857, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4688, 0.1719, -1.0000, 1.0000, 0.3281, 1.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000,
1.0000, 7.0000, 12.0000, 12.0000, 0.3175, 0.0000, 0.0000, 0.0000, 0.5984, 97.0000, 0.0000, 0.6954, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.2180, 1.0000, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 22.0000, 0.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5455, 1.0294698427060212e-07, 1.0000, 0.7891, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 0.0000, 5.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.5984, 1.0000, 0.0000, 50.0000, 0.0000, 22.0000, 6.0000, 0.0000, 1.0000, 0.7955, 1.0000, 0.9432, 1.0000, 1.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.2961, 1.0000, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 22.0000, 0.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5455, 1.0294698427060212e-07, 1.0000, 0.7891, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 0.0000, 990.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.5984, 1.0000, 0.0000, 50.0000, 0.0000, 22.0000, 6.0000, 0.0000, 1.0000, 0.7955, 1.0000, 0.9432, 1.0000, 1.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 4.0000, 1.0000, 0.8638, -48.0000, 0.0013, 0.8752, 48.0000, 1.0000, -1.0000, 0.8523, -48.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 100.0000, 22.0000, 100.0000, 1.0000, 5.0000, 1.0000, 101.0920, 3.0000, 0.0078, 0.0000, 1.0000, 100.0000, 0.0000, 100.0000, 0.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.5790, 1.0000, 1.0000, 1.0000, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 4.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8068, 1.0000, 1.0000, 1.0000, 1.0000, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000,
1.0000, 7.0000, 0.0000, 12.0000, 0.4000, 0.0000, 0.0000, 0.0000, 1.0000, 62.0000, 0.0000, 0.6954, 1.0000, 2.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 1.0000, 1.0000, 0.0000, 0.0000, 0.0000, 8.0000, 0.0000, 1.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5907, 0.1864, 1.0000, 0.6986, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.6400, 2.0000, 0.3228, 1.0000, 0.0000, 0.0000, 0.0000, 22.0000, 0.0000, 1.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 17.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 1.0000, 1.0000, 0.0000, 0.0000, 0.0000, 8.0000, 0.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5907, 0.1875, 1.0000, 0.6986, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.6260, 2.0000, 0.3307, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.1463, 0.1875, 1.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 100.0000, -6.0000, 1.0000, 0.3014, -48.0000, 0.0000, 0.5088, -38.0000, 1.0000, -48.0000, 1.0000, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.2441, 100.0000, 0.0000, 100.0000, 1.0000, 5.0000, 1.0000, 107.1880, 3.0000, 0.0000, 1.0000, 0.0714, 100.0000, 0.0000, 100.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 0.6271, 1.0000, 1.0000, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 0.0000, 0.6905, 0.4962, 0.0000, 0.0000, 32.0000, 0.0000, 79.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8012, 0.2881, 1.0000, 1.0000, 0.9178, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000,
1.0000, 8.0000, 12.0000, 5.0000, 0.5159, 0.0000, 0.0000, 0.0000, 0.9800, 46.0000, 0.0000, 0.6954, 1.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 1.0000, 1.0000, 0.0000, 0.0000, 0.0000, 3.0000, 0.0000, 0.0000, 0.0000, 0.6978, 1.0294698427060212e-07, 0.3170, 0.8200, 0.8800, 0.7277, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 5.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.6535, 1.0000, 0.0000, 0.0000, 0.0000, 5.0000, 0.0000, 0.0000, 0.0000, 0.8501, 1.0294698427060212e-07, 0.6799, 0.7800, 0.7400, 0.7277, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 7.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.8819, 1.0000, 0.0000, 0.0000, 0.0000, 11.0000, 0.0000, 0.0000, 0.0000, 0.9432, 1.0294698427060212e-07, 0.7012, 0.7812, 0.7891, 0.7277, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 0.0000, 15.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.6299, 1.0000, 0.0000, 0.0000, 0.0000, 19.0000, 0.0000, 0.0000, 1.0000, 0.8864, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.7741, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.4878, 48.0000, 1.0000, -38.0000, 0.3556, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 100.0000, 0.0000, 100.0000, 0.0000, 4.0000, 0.0000, 35.5600, 3.0000, 0.0000, 1.0000, 0.3200, 100.0000, 0.0000, 100.0000, 0.0000, 1.0000, 0.5000, 1.0294698427060212e-07, 0.6585, 0.7000, 1.0294698427060212e-07, 0.3556, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 0.0000, 0.8268, 0.6575, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1000, 0.0000, 0.5814, 1.0000, 1.0000, 0.5000, 0.3556, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000,
1.0000, 1.0000, -19.0000, 12.0000, 0.4365, 0.0000, 0.0000, 0.0000, 0.8968, 100.0000, 0.0000, 0.6954, 1.0000, 2.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.4160, 2.0000, 1.0000, 1.0000, 0.0000, 25.0000, 0.0000, 3.0000, 0.0000, 1.0000, 0.0000, 0.0208, 1.0294698427060212e-07, 0.4971, 1.0000, 0.7422, 0.7969, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 6.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.7480, 1.0000, 0.0000, 33.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.6725, 0.7627, 0.4576, 0.9041, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 9.0000, 8.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.7559, 1.0000, 0.0000, 76.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.7310, 1.0000, 0.2712, 1.0000, 1.0000, 0.7812, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.9680, 4.0000, 0.8425, 1.0000, 0.0000, 60.0000, 0.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.8480, 0.3220, 0.1356, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -4.0000, 0.0000, 0.4153, 48.0000, 1.0000, 0.0000, 0.8356, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.8425, 100.0000, 0.0000, 100.0000, 1.0000, 0.0000, 0.0000, 17.8594, 3.0000, 0.0000, 1.0000, 0.8560, 100.0000, 0.0000, 100.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.6141, 1.0000, 0.0339, 1.0000, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.2000, 0.5000, 0.0000, 0.0000, 0.0000, -100.0000, 0.0000, 0.0000, 0.1000, 0.0000, 0.5439, 1.0000, 1.0000, 0.7288, 1.0000, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000,
1.0000, 7.0000, 0.0000, 5.0000, 0.7749, 0.0000, 100.0000, 50.0000, 0.5600, 100.0000, 0.0000, 0.6016, 1.0000, 1.0000, 0.0000, 28.1250, 1.0000, 0.0000, 0.4346, 4.0000, 0.4882, 1.0000, 0.0000, 0.0000, 21.0000, 3.0000, 0.0000, 1.0000, 0.0000, 0.9500, 1.0294698427060212e-07, 1.0000, 0.4400, 1.0000, 0.8000, 0.0000, 0.5398, 7.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.8661, 1.0000, 0.0000, 0.0000, 0.0000, 11.0000, 0.0000, 1.0000, 0.0000, 0.6750, 1.0294698427060212e-07, 1.0000, 0.7800, 1.0000, 0.8000, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.7165, 1.0000, 0.0000, 0.0000, 0.0000, 22.0000, 0.0000, 1.0000, 0.0000, 0.4750, 1.0294698427060212e-07, 1.0000, 0.7600, 1.0000, 0.8000, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.7559, 5.0000, 0.3413, 1.0000, 0.0000, 0.0000, 0.0000, 22.0000, 0.0000, 1.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.8913, 1.0000, 0.2586, 0.8000, 3.0000, 0.5398, 3.0000, 0.0000, 0.0000, -100.0000, 1.0000, 0.0000, 12.0000, 0.0000, 0.5814, 12.0000, 1.0000, 0.0000, 0.3556, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0236, 100.0000, 0.0000, 100.0000, 1.0000, 0.0000, 0.0000, 10.0000, 3.0000, 0.0000, 1.0000, 0.5000, 100.0000, 0.0000, 100.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.3556, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 0.0000, 0.6613, 0.4318, 0.0000, 0.0000, 0.0000, 0.0000, 100.0000, 0.0000, 1.0000, 0.0000, 0.0000, 0.8199, 0.9800, 1.0000, 0.4000, 0.7422, 0.0000, 1.0000, 0.0000, 0.5547, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000,
1.0000, 7.0000, 12.0000, 5.0000, 0.2698, 0.0000, 0.0000, 0.0000, 0.2756, 43.0000, 0.0000, 0.5398, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 1.0000, 1.0000, 0.0000, 40.0000, 0.0000, 18.0000, 0.0000, 1.0000, 0.0000, 0.9726, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.8219, 0.0000, 0.5398, 3.0000, 37.0000, 1.0000, 1.0000, 1.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.8413, 1.0000, 0.0000, 0.0000, 0.0000, 18.0000, 100.0000, 1.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 1.0000, 1.0000, 0.0000, 40.0000, 0.0000, 18.0000, 0.0000, 1.0000, 0.0000, 0.9726, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.8219, 0.0000, 0.5398, 3.0000, 37.0000, 1.0000, 1.0000, 3.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.8413, 1.0000, 0.0000, 0.0000, 0.0000, 18.0000, 100.0000, 1.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 12.0000, 0.0000, 0.5814, 12.0000, 1.0000, 0.0000, 0.3556, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000, 100.0000, 1.0000, 0.0000, 0.0000, 22.8600, 3.0000, 0.0000, 1.0000, 1.0000, 100.0000, 0.0000, 100.0000, 0.0000, 1.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 1.0000, 1.0294698427060212e-07, 4.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 1.0000, 0.5159, 0.3534, 0.7500, 0.0000, 0.0000, 0.0000, 100.0000, 1.0000, 1.0000, 0.0000, 0.0000, 0.9589, 1.0000, 1.0000, 0.0000, 0.8082, 0.0000, 1.0000, 4.0000, 0.5398, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000,
1.0000, 5.0000, -12.0000, 5.0000, 0.5547, 0.0000, 0.0000, 0.0000, 1.0000, 3.0000, 0.0000, 0.5398, 1.0000, 0.0000, 5.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.8016, 1.0000, 0.0000, 100.0000, 0.0000, 0.0000, 100.0000, 0.0000, 0.0000, 0.9531, 1.0294698427060212e-07, 1.0000, 1.0000, 1.0294698427060212e-07, 0.8047, 1.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.7540, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8750, 1.0294698427060212e-07, 0.8750, 1.0000, 0.5938, 0.8125, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 6.0000, 997.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.2222, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.8438, 1.0294698427060212e-07, 0.8672, 1.0000, 0.9062, 0.5703, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 5.0000, 993.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.5238, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 3.0000, 0.0000, 1.0000, 0.8359, 1.0294698427060212e-07, 0.9844, 1.0000, 1.0294698427060212e-07, 0.6875, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7500, 48.0000, 0.0000, 0.5814, -48.0000, 1.0000, 0.0000, 0.3556, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 100.0000, 7.0000, 100.0000, 1.0000, 0.0000, 0.0000, 2.9766, 3.0000, 0.0000, 0.0000, 0.1014, 100.0000, 0.0000, 100.0000, 0.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.3556, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 0.0000, 0.1825, 0.0586, 0.5000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5814, 1.0000, 1.0000, 0.0000, 0.3556, 0.0000, 1.0000, 1.0000, 0.8281, 3.0000, 0.0000, 0.0000, 100.0000, 0.0000,
1.0000, 6.0000, 0.0000, 12.0000, 0.3095, 0.0000, 0.0000, 15.0000, 0.8268, 100.0000, 0.0000, 0.6954, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 0.0000, 22.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 1.0000, 1.0000, 1.0000, 0.8068, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.2266, 0.0000, 0.0000, 63.0000, -24.0000, 22.0000, 0.0000, 1.0000, 1.0000, 0.7836, 1.0294698427060212e-07, 0.7159, 1.0000, 0.1562, 0.8523, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4346, 4.0000, 0.3750, 1.0000, 0.0000, 64.0000, -24.0000, 22.0000, 0.0000, 0.0000, 1.0000, 0.7617, 1.0294698427060212e-07, 1.0000, 0.7188, 1.0000, 0.7841, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 1.0000, 0.0000, 1.0000, 0.5748, 1.0000, 0.0000, 61.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.7123, 1.0000, 1.0000, 1.0000, 0.0000, 0.5398, 3.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.8977, 15.0000, 1.0000, 1.0000, -3.0000, 1.0000, 0.0000, 0.5547, 3.0000, 1.0000, 0.0000, 0.5398, 3.0000, 12.0000, 0.0317, 100.0000, 0.0000, 100.0000, 1.0000, 2.0000, 0.0000, 82.5500, 3.0000, 0.0469, 0.0000, 0.1580, 100.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.5341, 1.0000, 1.0000, 1.0000, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 6.0000, 0.0000, 4.0000, 0.0000, 0.0000, 1.0000, 0.7381, 0.0000, 0.0000, 0.0000, 70.0000, 0.0000, 0.0000, 0.0000, 0.9091, 0.0000, 0.5312, 0.7045, 1.0000, 1.0000, 1.0000, 0.8767, 0.0000, 1.0000, 0.0000, 0.5398, 3.0000, 5.0000, 1.0000, 100.0000, 4.3125,
1.0000, 6.0000, 0.0000, 2.0000, 0.6825, 0.0000, 19.0000, 27.0000, 0.7000, 0.0000, 0.0000, 0.5398, 1.0000, 2.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 1.0000, 1.0000, 0.0000, 31.0000, 0.0000, 22.0000, 0.0000, 0.0000, 1.0000, 0.7087, 1.0294698427060212e-07, 0.8438, 1.0000, 0.4688, 0.8984, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 9.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.4346, 4.0000, 0.3651, 1.0000, 0.0000, 42.0000, 0.0000, 22.0000, 70.0000, 0.0000, 1.0000, 0.4485, 1.0294698427060212e-07, 0.5814, 1.0000, 0.3438, 0.8516, 0.0000, 0.5398, 3.0000, -22.0000, 1.0000, 5.0000, 0.0000, -54.6875, 1.0000, 0.0000, 0.4346, 4.0000, 0.6349, 1.0000, 0.0000, -80.0000, 0.0000, 20.0000, 42.0000, 0.0000, 0.0000, 0.8828, 1.0294698427060212e-07, 0.5814, 1.0000, 0.3125, 1.0000, 2.0000, 0.5398, 7.0000, 0.0000, 1.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.0060, 0.0000, 0.4683, 1.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 0.2656, 1.0294698427060212e-07, 0.5781, 0.8594, 0.1875, 0.9141, 2.0000, 0.5398, 5.0000, -31.0000, 3.0000, 0.0000, 1.0000, 0.5781, -6.0000, 0.0000, 0.3594, 27.0000, 1.0000, 3.0000, 0.3556, 0.0000, 1.0000, 2.0000, 0.3672, 3.0000, 0.0000, 0.2857, 100.0000, 0.0000, 100.0000, 1.0000, 6.0000, 1.0000, 95.2500, 3.0000, 0.0000, 1.0000, 1.0000, 100.0000, 0.0000, 100.0000, 0.0000, 0.0000, 0.0000, 1.0294698427060212e-07, 0.5814, 1.0000, 1.0000, 0.3556, 1.0294698427060212e-07, 0.0000, 0.5398, 3.0000, 0.0000, 1.0000, 4.0000, 0.0000, 0.0000, 0.0000, 0.2441, 0.3123, 0.0000, 0.0000, 22.0000, 0.0000, 62.0000, 1.0000, 0.4432, 0.1250, 0.0000, 0.7717, 0.4688, 1.0000, 0.0625, 0.6641, 0.1562, 1.0000, 2.0000, 0.3828, 2.0000, 29.0000, 1.0000, 100.0000, -7.1250,
