DeviceOn,Algorithm,Transpose,PBRange,Volume,Panorama,Pan<Key,Pan<Rnd,Tone,Spread,GlideOn,GlideTime,Osc-AOn,ACoarse,AFine,AFreq<Vel,AQuantize,AFixOn,AFixFreq,AFixFreqMul,Osc-ALevel,Osc-ARetrig,Osc-APhase,Osc-ALev<Vel,Osc-ALev<Key,Osc-AWave,Osc-AFeedb,Osc-A<Pe,Osc-A<LFO,AeAttack,AeInit,AeDecay,AePeak,AeSustain,AeRelease,AeMode,AeLoop,AeRetrig,AeR<Vel,Osc-BOn,BCoarse,BFine,BFreq<Vel,BQuantize,BFixOn,BFixFreq,BFixFreqMul,Osc-BLevel,Osc-BRetrig,Osc-BPhase,Osc-BLev<Vel,Osc-BLev<Key,Osc-BWave,Osc-BFeedb,Osc-B<Pe,Osc-B<LFO,BeAttack,BeInit,BeDecay,BePeak,BeSustain,BeRelease,BeMode,BeLoop,BeRetrig,BeR<Vel,Osc-COn,CCoarse,CFine,CFreq<Vel,CQuantize,CFixOn,CFixFreq,CFixFreqMul,Osc-CLevel,Osc-CRetrig,Osc-CPhase,Osc-CLev<Vel,Osc-CLev<Key,Osc-CWave,Osc-CFeedb,Osc-C<Pe,Osc-C<LFO,CeAttack,CeInit,CeDecay,CePeak,CeSustain,CeRelease,CeMode,CeLoop,CeRetrig,CeR<Vel,Osc-DOn,DCoarse,DFine,DFreq<Vel,DQuantize,DFixOn,DFixFreq,DFixFreqMul,Osc-DLevel,Osc-DRetrig,Osc-DPhase,Osc-DLev<Vel,Osc-DLev<Key,Osc-DWave,Osc-DFeedb,Osc-D<Pe,Osc-D<LFO,DeAttack,DeInit,DeDecay,DePeak,DeSustain,DeRelease,DeMode,DeLoop,DeRetrig,DeR<Vel,Time,Time<Key,PeOn,PeAttack,PeInit,PeASlope,PeDecay,PePeak,PeDSlope,PeSustain,PeRelease,PeEnd,PeRSlope,PeMode,PeLoop,PeRetrig,PeR<Vel,PeAmount,PeAmtA,PeDstB,PeAmtB,LFOOn,LFOType,LFORange,LFORate,LFOSync,LFOR<K,LFORetrigger,LFOAmt,LFOAmtA,LFODstB,LFOAmtB,LFO<Vel,LFO<Pe,LeAttack,LeInit,LeDecay,LePeak,LeSustain,LeRelease,LeEnd,LeMode,LeLoop,LeRetrig,LeR<Vel,FilterOn,FilterType,FilterCircuit-LP/HP,FilterCircuit-BP/NO/Morph,FilterSlope,FilterFreq,FilterRes,FilterMorph,FilterDrive,Filt<Vel,Filt<Key,FeAmount,Filt<LFO,FeAttack,FeInit,FeASlope,FeDecay,FePeak,FeDSlope,FeSustain,FeRelease,FeEnd,FeRSlope,FeMode,FeLoop,FeRetrig,FeR<Vel,ShaperType,ShaperMix,ShaperDrive
1.0,0.7,0.375,0.0833,0.4249,0.5,0.0,0.0,0.2302,0.01,0.0,0.5398,1.0,0.0625,0.0,0.5,1.0,0.0,0.4346,0.8,0.8095,1.0,0.0,0.9,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.9375,1.0,0.0938,0.5938,0.0,0.5398,0.2143,0.5,1.0,0.375,0.248,0.5,1.0,0.0,0.4346,0.8,0.0952,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5814,1.0,1.0,0.3556,0.0,0.5398,0.2143,0.5,1.0,0.0417,0.0,0.5,1.0,0.0,0.4346,0.8,0.7698,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.4297,0.0,0.9091,1.0,0.3281,0.7273,0.0,0.5398,0.2143,0.5,1.0,0.0417,0.0,0.5,1.0,0.0,0.4346,0.8,0.254,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.2969,0.0,0.5814,1.0,1.0,0.3556,0.0,0.5398,0.2143,0.5,0.5,0.5,0.0,0.0,0.625,0.5,0.5814,0.625,1.0,0.5,0.3556,0.5,1.0,0.0,0.5398,0.2143,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.2698,0.2143,0.0,1.0,0.0476,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5814,1.0,1.0,0.3556,0.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.0,0.0,0.0,0.7857,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.4688,0.1719,0.0,1.0,0.3281,1.0,1.0,0.0,0.5398,0.2143,0.5,0.0,1.0,0.5
1.0,0.7,0.625,0.5,0.3175,0.5,0.0,0.0,0.5984,0.97,0.0,0.6954,1.0,0.0208,0.0,0.5,1.0,1.0,0.218,0.2,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.5455,0.0,1.0,0.7891,0.0,0.5398,0.2143,0.5,1.0,0.0,0.005,0.5,1.0,0.0,0.4346,0.8,0.5984,1.0,0.0,0.75,0.5,1.0,0.06,0.0,1.0,0.7955,1.0,0.9432,1.0,1.0,1.0,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.0,0.5,1.0,1.0,0.2961,0.2,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.5455,0.0,1.0,0.7891,0.0,0.5398,0.2143,0.5,1.0,0.0,0.99,0.5,1.0,0.0,0.4346,0.8,0.5984,1.0,0.0,0.75,0.5,1.0,0.06,0.0,1.0,0.7955,1.0,0.9432,1.0,1.0,1.0,0.0,0.5398,0.2143,0.5,0.5,0.52,1.0,0.8638,0.0,0.5006,0.8752,1.0,1.0,0.4896,0.8523,0.0,1.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.9565,1.0,1.0,0.8333,0.5,0.796,0.2143,0.0078,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.579,1.0,1.0,1.0,0.0,0.0,0.5398,0.2143,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.8068,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5398,0.2143,0.5,0.0,1.0,0.5
1.0,0.7,0.5,0.5,0.4,0.5,0.0,0.0,1.0,0.62,0.0,0.6954,1.0,0.0417,0.0,0.5,1.0,0.0,0.4346,0.8,1.0,1.0,0.0,0.5,0.5,0.3636,0.0,1.0,1.0,0.0,0.0,0.5907,0.1864,1.0,0.6986,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.0,0.5,1.0,1.0,0.64,0.4,0.3228,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.5814,1.0,1.0,1.0,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.017,0.5,1.0,0.0,0.4346,0.8,1.0,1.0,0.0,0.5,0.5,0.3636,0.0,0.0,1.0,0.0,0.0,0.5907,0.1875,1.0,0.6986,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.0,0.5,1.0,1.0,0.626,0.4,0.3307,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.1463,0.1875,1.0,1.0,0.0,0.5398,0.2143,0.5,1.0,0.47,1.0,0.3014,0.0,0.5,0.5088,0.1042,1.0,0.0,1.0,0.5,1.0,0.0,0.5398,0.2143,0.5,0.622,1.0,0.0,1.0,1.0,0.8333,0.5,0.844,0.2143,0.0,1.0,0.0714,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5814,0.6271,1.0,1.0,0.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.0,0.0,0.0,0.6905,0.397,0.0,0.0,0.66,0.5,0.895,0.0,0.0,0.0,0.5,0.8012,0.2881,1.0,1.0,0.9178,0.0,1.0,0.0,0.5398,0.2143,0.5,0.0,1.0,0.5
1.0,0.8,0.625,0.2083,0.5159,0.5,0.0,0.0,0.98,0.46,0.0,0.6954,1.0,0.0,0.0,0.5,1.0,0.0,0.4346,0.8,1.0,1.0,0.0,0.5,0.5,0.1364,0.0,0.0,0.0,0.6978,0.0,0.317,0.82,0.88,0.7277,0.0,0.5398,0.2143,0.5,1.0,0.1042,0.0,0.5,1.0,0.0,0.4346,0.8,0.6535,1.0,0.0,0.5,0.5,0.2273,0.0,0.0,0.0,0.8501,0.0,0.6799,0.78,0.74,0.7277,0.0,0.5398,0.2143,0.5,1.0,0.1458,0.0,0.5,1.0,0.0,0.4346,0.8,0.8819,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.9432,0.0,0.7012,0.7812,0.7891,0.7277,0.0,0.5398,0.2143,0.5,1.0,0.0,0.015,0.5,1.0,0.0,0.4346,0.8,0.6299,1.0,0.0,0.5,0.5,0.8636,0.0,0.0,1.0,0.8864,0.0,0.5814,1.0,1.0,0.7741,0.0,0.5398,0.2143,0.5,0.5,0.5,0.0,1.0,0.5104,0.5,0.4878,1.0,1.0,0.1042,0.3556,0.5,1.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.0,1.0,0.0,0.6667,0.0,0.28,0.2143,0.0,1.0,0.32,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.6585,0.7,0.0,0.3556,0.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.0,0.0,0.0,0.8268,0.526,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.1,0.5,0.5814,1.0,1.0,0.5,0.3556,0.0,1.0,0.0,0.5398,0.2143,0.5,0.0,1.0,0.5
1.0,0.1,0.3021,0.5,0.4365,0.5,0.0,0.0,0.8968,1.0,0.0,0.6954,1.0,0.0417,0.0,0.5,1.0,1.0,0.416,0.4,1.0,1.0,0.0,0.625,0.5,0.1364,0.0,1.0,0.0,0.0208,0.0,0.4971,1.0,0.7422,0.7969,0.0,0.5398,0.2143,0.5,1.0,0.125,0.0,0.5,1.0,0.0,0.4346,0.8,0.748,1.0,0.0,0.665,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.6725,0.7627,0.4576,0.9041,0.0,0.5398,0.2143,0.5,1.0,0.1875,0.008,0.5,1.0,0.0,0.4346,0.8,0.7559,1.0,0.0,0.88,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.731,1.0,0.2712,1.0,0.25,0.7812,0.2143,0.5,1.0,0.0208,0.0,0.5,1.0,1.0,0.968,0.8,0.8425,1.0,0.0,0.8,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.848,0.322,0.1356,1.0,0.0,0.5398,0.2143,0.5,0.5,0.5,1.0,0.0,0.4583,0.5,0.4153,1.0,1.0,0.5,0.8356,0.5,1.0,0.0,0.5398,0.2143,0.5,0.9213,1.0,0.0,1.0,1.0,0.0,0.0,0.1406,0.2143,0.0,1.0,0.856,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.6141,1.0,0.0339,1.0,0.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.16,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.1,0.5,0.5439,1.0,1.0,0.7288,1.0,0.0,1.0,0.0,0.5398,0.2143,0.5,0.0,1.0,0.5
1.0,0.7,0.5,0.2083,0.7749,0.5,1.0,0.5,0.56,1.0,0.0,0.6016,1.0,0.0208,0.0,0.6406,1.0,0.0,0.4346,0.8,0.4882,1.0,0.0,0.5,0.605,0.1364,0.0,1.0,0.0,0.95,0.0,1.0,0.44,1.0,0.8,0.0,0.5398,0.5,0.5,1.0,0.0208,0.0,0.5,1.0,0.0,0.4346,0.8,0.8661,1.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.675,0.0,1.0,0.78,1.0,0.8,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.0,0.5,1.0,0.0,0.4346,0.8,0.7165,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.475,0.0,1.0,0.76,1.0,0.8,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.0,0.5,1.0,1.0,0.7559,1.0,0.3413,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.8913,1.0,0.2586,0.8,0.75,0.5398,0.2143,0.5,0.5,0.0,1.0,0.0,0.625,0.5,0.5814,0.625,1.0,0.5,0.3556,0.5,1.0,0.0,0.5398,0.2143,0.5,0.5118,1.0,0.0,1.0,1.0,0.0,0.0,0.0787,0.2143,0.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5814,1.0,1.0,0.3556,0.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.0,0.0,0.0,0.6613,0.3455,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.8199,0.98,1.0,0.4,0.7422,0.0,1.0,0.0,0.5547,0.2143,0.5,0.0,1.0,0.5
1.0,0.7,0.625,0.2083,0.2698,0.5,0.0,0.0,0.2756,0.43,0.0,0.5398,1.0,0.0208,0.0,0.5,1.0,0.0,0.4346,0.8,1.0,1.0,0.0,0.7,0.5,0.8182,0.0,1.0,0.0,0.9726,0.0,0.5814,1.0,1.0,0.8219,0.0,0.5398,0.2143,0.685,1.0,0.0208,0.001,0.5,1.0,0.0,0.4346,0.8,0.8413,1.0,0.0,0.5,0.5,0.8182,1.0,1.0,0.0,0.0,0.0,0.5814,1.0,1.0,1.0,0.0,0.5398,0.2143,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.4346,0.8,1.0,1.0,0.0,0.7,0.5,0.8182,0.0,1.0,0.0,0.9726,0.0,0.5814,1.0,1.0,0.8219,0.0,0.5398,0.2143,0.685,1.0,0.0208,0.003,0.5,1.0,0.0,0.4346,0.8,0.8413,1.0,0.0,0.5,0.5,0.8182,1.0,1.0,0.0,0.0,0.0,0.5814,1.0,1.0,1.0,0.0,0.5398,0.2143,0.5,0.5,0.5,0.0,0.0,0.625,0.5,0.5814,0.625,1.0,0.5,0.3556,0.5,1.0,0.0,0.5398,0.2143,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.18,0.2143,0.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5814,1.0,1.0,1.0,0.0,1.0,0.5398,0.2143,0.5,1.0,1.0,0.0,0.0,1.0,0.5159,0.2828,0.75,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.9589,1.0,1.0,0.0,0.8082,0.0,1.0,1.0,0.5398,0.2143,0.5,0.0,1.0,0.5
1.0,0.5,0.375,0.2083,0.5547,0.5,0.0,0.0,1.0,0.03,0.0,0.5398,1.0,0.0,0.005,0.5,1.0,0.0,0.4346,0.8,0.8016,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.9531,0.0,1.0,1.0,0.0,0.8047,0.25,0.5398,0.2143,0.5,1.0,0.0833,0.0,0.5,1.0,0.0,0.4346,0.8,0.754,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.875,0.0,0.875,1.0,0.5938,0.8125,0.0,0.5398,0.2143,0.5,1.0,0.125,0.997,0.5,1.0,0.0,0.4346,0.8,0.2222,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.8438,0.0,0.8672,1.0,0.9062,0.5703,0.0,0.5398,0.2143,0.5,1.0,0.1042,0.993,0.5,1.0,0.0,0.4346,0.8,0.5238,1.0,0.0,0.5,0.5,0.0,0.03,0.0,1.0,0.8359,0.0,0.9844,1.0,0.0,0.6875,0.0,0.5398,0.2143,0.5,0.5,0.5,0.0,0.75,1.0,0.5,0.5814,0.0,1.0,0.5,0.3556,0.5,1.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.3043,1.0,1.0,0.0,0.0,0.0234,0.2143,0.0,0.0,0.1014,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5814,1.0,1.0,0.3556,0.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.0,0.0,0.0,0.1825,0.0469,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5814,1.0,1.0,0.0,0.3556,0.0,1.0,0.25,0.8281,0.2143,0.5,0.0,1.0,0.5
1.0,0.6,0.5,0.5,0.3095,0.5,0.0,0.15,0.8268,1.0,0.0,0.6954,1.0,0.0208,0.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8068,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.0,0.5,1.0,0.0,0.4346,0.8,0.2266,0.0,0.0,0.815,0.38,1.0,0.0,1.0,1.0,0.7836,0.0,0.7159,1.0,0.1562,0.8523,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.0,0.5,0.0,0.0,0.4346,0.8,0.375,1.0,0.0,0.82,0.38,1.0,0.0,0.0,1.0,0.7617,0.0,1.0,0.7188,1.0,0.7841,0.0,0.5398,0.2143,0.5,1.0,0.0208,0.0,0.5,1.0,1.0,0.0,0.2,0.5748,1.0,0.0,0.805,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.7123,1.0,1.0,1.0,0.0,0.5398,0.2143,0.5,0.5,0.5,1.0,0.8977,0.6562,1.0,1.0,0.4688,1.0,0.5,0.5547,0.5312,1.0,0.0,0.5398,0.2143,0.56,0.5159,1.0,0.0,1.0,1.0,0.3333,0.0,0.65,0.2143,0.0469,0.0,0.158,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5341,1.0,1.0,1.0,0.0,0.0,0.5398,0.2143,0.53,0.0,1.0,0.0,0.0,1.0,0.7381,0.0,0.0,0.0,0.85,0.5,0.5,0.0,0.9091,0.0,0.7656,0.7045,1.0,1.0,1.0,0.8767,0.0,1.0,0.0,0.5398,0.2143,0.525,0.25,1.0,0.6797
1.0,0.6,0.5,0.0833,0.6825,0.5,0.19,0.27,0.7,0.0,0.0,0.5398,1.0,0.0417,0.0,0.5,1.0,0.0,0.4346,0.8,1.0,1.0,0.0,0.655,0.5,1.0,0.0,0.0,1.0,0.7087,0.0,0.8438,1.0,0.4688,0.8984,0.0,0.5398,0.2143,0.5,1.0,0.1875,0.0,0.5,1.0,0.0,0.4346,0.8,0.3651,1.0,0.0,0.71,0.5,1.0,0.7,0.0,1.0,0.4485,0.0,0.5814,1.0,0.3438,0.8516,0.0,0.5398,0.2143,0.39,1.0,0.1042,0.0,0.2266,1.0,0.0,0.4346,0.8,0.6349,1.0,0.0,0.1,0.5,0.9091,0.42,0.0,0.0,0.8828,0.0,0.5814,1.0,0.3125,1.0,0.5,0.5398,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.006,0.0,0.4683,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.2656,0.0,0.5781,0.8594,0.1875,0.9141,0.5,0.5398,0.3571,0.345,0.515,0.5,1.0,0.5781,0.4375,0.5,0.3594,0.7812,1.0,0.5312,0.3556,0.5,1.0,0.5,0.3672,0.2143,0.5,0.6429,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.2143,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5814,1.0,1.0,0.3556,0.0,0.0,0.5398,0.2143,0.5,1.0,1.0,0.0,0.0,0.0,0.2441,0.2498,0.0,0.0,0.61,0.5,0.81,1.0,0.4432,0.125,0.5,0.7717,0.4688,1.0,0.0625,0.6641,0.1562,1.0,0.5,0.3828,0.1429,0.645,0.25,1.0,0.2031
